,0
0,Gujarat
1,Himachal Pradesh
2,Jharkhand
3,Jammu And Kashmir
4,Karnataka
5,Madhya Pradesh
6,Maharashtra
7,Manipur
8,Odisha
9,Punjab
10,Rajasthan
11,Uttarakhand
